semester,product,avgprice
2004_1,DIESEL,1.4204162435349408
2004_1,GASOLINA,2.0283955973648169
2004_1,GNV,1.0829272081668886
2004_1,ETANOL,1.1003574988083373
2004_2,DIESEL,1.5464919263714234
2004_2,GASOLINA,2.1788995915400112
2004_2,GNV,1.09497688936910979050
2004_2,ETANOL,1.3463544051202307
2005_1,DIESEL,1.6828042735984139
2005_1,GASOLINA,2.3026302290095276
2005_1,GNV,1.1182575959844075
2005_1,ETANOL,1.4734869652406417
2005_2,DIESEL,1.8138323645821554
2005_2,GASOLINA,2.4283365288048936
2005_2,GNV,1.20179283454719340837
2005_2,ETANOL,1.4972612200284108
2006_1,DIESEL,1.8855639808968631
2006_1,GASOLINA,2.5936096423017107
2006_1,GNV,1.27867040448538245895
2006_1,ETANOL,1.8892949760866211
2006_2,DIESEL,1.8802438277029006
2006_2,GASOLINA,2.5874534239763493
2006_2,GNV,1.30913522116851250083
2006_2,ETANOL,1.6683672395392485
2007_1,DIESEL,1.8764988197901330
2007_1,GASOLINA,2.5609749939167559
2007_1,ETANOL,1.6703842040396427
2007_1,GNV,1.3365421108742004
2007_2,DIESEL,1.8750046370563465
2007_2,GASOLINA,2.5312910444789551
2007_2,ETANOL,1.4802678255230001
2007_2,GNV,1.4092205649872843
2008_1,DIESEL,1.9464103645073065
2008_1,GASOLINA,2.5397799662653613
2008_1,GNV,1.51768132495716733295
2008_1,ETANOL,1.5696322008161716
2008_2,DIESEL,2.1209735053336641
2008_2,GASOLINA,2.5486464863774644
2008_2,GNV,1.6945507884121746
2008_2,ETANOL,1.5949406346501970
2009_1,DIESEL,2.1173511292556988
2009_1,GASOLINA,2.5435205406603146
2009_1,GNV,1.7252025648498980
2009_1,ETANOL,1.5738037323606181
2009_2,DIESEL,2.0040606572953637
2009_2,GASOLINA,2.5550116180254705
2009_2,GNV,1.62066198926950061907
2009_2,ETANOL,1.6553426412351959
2010_1,DIESEL,2.0062373685849594
2010_1,GASOLINA,2.6055278806650552
2010_1,GNV,1.6492586978987255
2010_1,ETANOL,1.8276997711191370
2010_2,DIESEL,2.0030218120717542
2010_2,GASOLINA,2.6034824776930040
2010_2,GNV,1.6597314896107697
2010_2,ETANOL,1.7478947003554048
2011_1,DIESEL,2.0263876775189302
2011_1,GASOLINA,2.7476653256112118
2011_1,GNV,1.6479424862253755
2011_1,ETANOL,2.0994389343205511
2011_2,DIESEL,2.0314084026312523
2011_2,GASOLINA,2.7744506573708704
2011_2,GNV,1.6772880354505170
2011_2,ETANOL,2.1067508108805426
2012_1,DIESEL S50,2.0944509006391633
2012_1,DIESEL,2.0424282575647140
2012_1,GASOLINA,2.7696856401445373
2012_1,GNV,1.7118969149736644
2012_1,ETANOL,2.1214659015526495
2012_2,DIESEL S10,2.1832000000000000
2012_2,DIESEL S50,2.2147076466937875
2012_2,DIESEL,2.1277397103638269
2012_2,GASOLINA,2.7652940399043142
2012_2,GNV,1.7615943325876212
2012_2,ETANOL,2.0773859323115327
2013_1,DIESEL S10,2.4199857838730583
2013_1,DIESEL,2.2780792081539884
2013_1,GASOLINA,2.8815269450376632
2013_1,GNV,1.7919878787878788
2013_1,ETANOL,2.1641895253526496
2013_2,DIESEL S10,2.4942054036804595
2013_2,DIESEL,2.3534821701157132
2013_2,GASOLINA,2.8906851448282462
2013_2,GNV,1.8088116935189910
2013_2,ETANOL,2.1132410317419427
2014_1,DIESEL S10,2.6389976583019525
2014_1,DIESEL,2.4928602947337063
2014_1,GASOLINA,3.0003021080953998
2014_1,GNV,1.8517187500000000
2014_1,ETANOL,2.2573385178538364
2014_2,DIESEL S10,2.6795544656863590
2014_2,DIESEL,2.5288389622153209
2014_2,GASOLINA,3.0113083343845013
2014_2,GNV,1.8991616218499226
2014_2,ETANOL,2.2180392128636619
2015_1,DIESEL S10,2.9210237281531330
2015_1,DIESEL,2.7713629377195118
2015_1,GASOLINA,3.2912369702773412
2015_1,GNV,1.9709827663051553
2015_1,ETANOL,2.3407907556704310
2015_2,DIESEL S10,3.0271741342900033
2015_2,DIESEL,2.8823684374727016
2015_2,GASOLINA,3.4526906266704399
2015_2,GNV,2.1412793074425875
2015_2,ETANOL,2.4755833461861430
2016_1,DIESEL S10,3.1542928524656223
2016_1,DIESEL,3.0206147074054894
2016_1,GASOLINA,3.7372702616788296
2016_1,GNV,2.2626152882205514
2016_1,ETANOL,2.8900785218374997
2016_2,DIESEL S10,3.1495337272512408
2016_2,DIESEL,3.0176989843423911
2016_2,GASOLINA,3.7150907230050767
2016_2,GNV,2.2501733730107388
2016_2,ETANOL,2.8364337234722863
2017_1,DIESEL S10,3.1768401059263994
2017_1,DIESEL,3.0592241615744956
2017_1,GASOLINA,3.7167505015181089
2017_1,ETANOL,2.9227882309327644
2017_1,GNV,2.3180115591027934
2017_2,DIESEL S10,3.2830722379603399
2017_2,DIESEL,3.1725212637856228
2017_2,GASOLINA,3.8630909369259032
2017_2,ETANOL,2.8566927861305647
2017_2,GNV,2.4026264274061990
2018_1,DIESEL S10,3.5449804647152339
2018_1,DIESEL,3.4525297567493999
2018_1,GASOLINA,4.3085382954648007
2018_1,GNV,2.5738769595573706
2018_1,ETANOL,3.1772627586644662
2018_2,DIESEL S10,3.6409320066334992
2018_2,DIESEL,3.5537019136408243
2018_2,GASOLINA,4.5830641125204936
2018_2,ETANOL,3.0923335013049135
2018_2,GNV,2.8928521458361361
2019_1,DIESEL S10,3.6485081209517300
2019_1,DIESEL,3.5517880663284922
2019_1,GASOLINA,4.4127633546372382
2019_1,GNV,3.1843180940115905
2019_1,ETANOL,3.1747848069219199
2019_2,DIESEL S10,3.7335755976968826
2019_2,DIESEL,3.6482827008354362
2019_2,GASOLINA,4.4259677010725167
2019_2,GNV,3.2484109009457442
2019_2,ETANOL,3.1627313048489579
2020_1,DIESEL S10,3.5235077599668568
2020_1,DIESEL,3.4345535319321040
2020_1,GASOLINA,4.2803495690199440
2020_1,ETANOL,3.1953802825341183
2020_1,GNV,3.2248751397689154
2020_2,DIESEL S10,3.4740374601842492
2020_2,DIESEL,3.3759711768875089
2020_2,GASOLINA,4.2823463159881709
2020_2,GNV,3.0701920469950294
2020_2,ETANOL,3.1408000280711604
2020_2,GASOLINA ADITIVADA,4.5887133414618495
2021_1,DIESEL S10,4.3104738457887790
2021_1,DIESEL,4.2568712734395253
2021_1,GASOLINA,5.3476205723668778
2021_1,ETANOL,4.1412046640552815
2021_1,GNV,3.4809193815571507
2021_1,GASOLINA ADITIVADA,5.4965953473650894
2021_2,DIESEL S10,5.0413808733993345
2021_2,DIESEL,4.9810406482665263
2021_2,GASOLINA,6.2746932849973986
2021_2,ETANOL,5.0566054569976139
2021_2,GNV,4.2375160950485778
2021_2,GASOLINA ADITIVADA,6.4229768965012773
2022_1,DIESEL S10,6.4966296390488474
2022_1,DIESEL,6.4005217820966812
2022_1,GASOLINA,7.0232126925660631
2022_1,ETANOL,5.3170837684682680
2022_1,GNV,4.9959085654230163
2022_1,GASOLINA ADITIVADA,7.1719179853087075
2022_2,DIESEL S10,7.0850032144866197
2022_2,DIESEL,6.9671996072985010
2022_2,GASOLINA,5.3464194429160221
2022_2,GNV,5.1005559146735617
2022_2,ETANOL,4.2085932472080257
2022_2,GASOLINA ADITIVADA,5.5172198500027372
2023_1,DIESEL S10,5.8176666251246261
2023_1,DIESEL,5.7185850696178509
2023_1,GASOLINA,5.3351607954955605
2023_1,GNV,4.6824848083084742
2023_1,ETANOL,4.0986578922490310
2023_1,GASOLINA ADITIVADA,5.5178126703866544
2023_2,DIESEL S10,5.8979396062162070
2023_2,DIESEL,5.7934361681259696
2023_2,GASOLINA,5.7059599541484896
2023_2,GNV,4.6055974576271186
2023_2,ETANOL,3.9179658639233107
2023_2,GASOLINA ADITIVADA,5.8862353735610960
